Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
2000.0,2007-09-20,Honey,665.0,35.4%,850xx,AZ,< 1 year,0.0
10000.0,2007-11-19,littlebit0118,561.0,22.33%,275xx,NC,10+ years,0.0
6000.0,2007-11-23,sjsmom,496.0,5.6%,746xx,OK,1 year,0.0
1700.0,2007-12-15,RogerC,580.0,8.94%,941xx,CA,6 years,0.0
20000.0,2007-12-29,other,635.0,51.58%,453xx,OH,10+ years,0.0
10000.0,2008-01-14,debt loan,646.0,1.66%,125xx,NY,4 years,0.0
15000.0,2008-03-16,loan for debt,669.0,5.89%,920xx,CA,10+ years,0.0
25000.0,2008-04-06,,643.0,17.33%,681xx,NE,1 year,0.0
3000.0,2008-08-27,FreshStartPleaseHelp,463.0,1.3%,935xx,CA,2 years,0.0
7500.0,2008-10-02,Consolidating several credit cards,655.0,29.39%,972xx,OR,< 1 year,0.0
5000.0,2008-10-15, ,506.0,0.44%,532xx,WI,6 years,0.0
5000.0,2008-10-18,car loan,488.0,1.51%,176xx,PA,2 years,0.0
25000.0,2008-10-21,Need Loan. ,,-1%,060xx,CT,4 years,0.0
5000.0,2008-10-29,Insurance Marketing for Medicare,559.0,4.98%,932xx,CA,4 years,0.0
5000.0,2008-11-04,loan with a purpose,485.0,0%,056xx,VT,10+ years,0.0
15000.0,2008-11-04,DEBT CONSOLIDATION LOAN,487.0,11.85%,952xx,CA,10+ years,0.0
25000.0,2008-11-30,Personal Loan,,-1%,703xx,LA,< 1 year,0.0
7500.0,2008-12-05,motorcycle shop equipment,703.0,7.8%,181xx,PA,2 years,0.0
8000.0,2008-12-28, Loan to Create Online Fashion Business,542.0,0%,983xx,WA,< 1 year,0.0
2500.0,2009-01-16,bILL pAYMENT,470.0,1.41%,461xx,IL,3 years,0.0
25000.0,2009-01-22,Business Loan,586.0,2.74%,330xx,FL,10+ years,0.0
16500.0,2009-01-26,Consolidate!,699.0,25.05%,926xx,CA,2 years,0.0
16000.0,2009-02-02, ,639.0,37.04%,120xx,NY,2 years,0.0
15000.0,2009-02-20,HOME IMPROVMENT,638.0,16.95%,760xx,TX,3 years,0.0
6200.0,2009-02-25, ,689.0,30.56%,705xx,LA,< 1 year,0.0
5000.0,2009-03-10,Please help me finish school,565.0,46.87%,850xx,AZ,< 1 year,0.0
10000.0,2009-03-12,payoff,562.0,5.3%,752xx,TX,10+ years,0.0
2500.0,2009-03-21,Rebuilding Credit,531.0,23.59%,900xx,CA,1 year,0.0
9000.0,2009-03-23, ,692.0,20.84%,301xx,GA,1 year,0.0
8000.0,2009-03-24,Bridge Loan,613.0,4.22%,774xx,TX,4 years,0.0
25000.0,2009-03-25,Small Business Capital ,644.0,14.4%,606xx,IL,2 years,0.0
9000.0,2009-03-27,Credit Card Refinancing,695.0,4.97%,750xx,TX,7 years,0.0
15000.0,2009-03-30,personal,569.0,0%,324xx,FL,< 1 year,0.0
5000.0,2009-04-09,Pay off Debt with National City,605.0,22.85%,437xx,OH,9 years,0.0
3000.0,2009-04-13,personal,415.0,2.32%,891xx,NV,10+ years,0.0
5500.0,2009-04-17,Jarryd's payoff loan,722.0,22.46%,993xx,WA,< 1 year,0.0
20000.0,2009-04-17,Loan For Nursing,,-1%,300xx,GA,3 years,0.0
5000.0,2009-04-19,need help asap,,-1%,071xx,NJ,< 1 year,0.0
2000.0,2009-04-30,Online school ,538.0,0%,844xx,UT,< 1 year,0.0
2300.0,2009-05-04,School Loan- The Massage School.org,585.0,0%,015xx,MA,< 1 year,0.0
5000.0,2009-05-04,Cosolidate,536.0,120.15%,488xx,MI,10+ years,0.0
25000.0,2009-05-10,Concert Promotion Opportunity,792.0,82%,365xx,AL,10+ years,0.0
3000.0,2009-05-20, ,703.0,5.78%,100xx,NY,2 years,0.0
12000.0,2009-05-24,Private Education Loan,594.0,0%,303xx,GA,< 1 year,0.0
10000.0,2009-05-27,Personal,667.0,16.62%,782xx,TX,3 years,0.0
6000.0,2009-06-05, ,,99999%,350xx,AL,< 1 year,0.0
6000.0,2009-06-12,school finance,,-1%,117xx,NY,< 1 year,0.0
11000.0,2009-06-15,Education,627.0,18.4%,394xx,MS,< 1 year,0.0
2000.0,2009-06-28,School Loan,665.0,48.5%,234xx,VA,1 year,0.0
12000.0,2009-07-01,Loan for college,639.0,50%,489xx,MI,< 1 year,0.0
25000.0,2009-07-02,Katerina Tana Collection - LOOM,631.0,36.42%,902xx,CA,9 years,0.0
10000.0,2009-07-15,Education Loan,,-1%,100xx,NY,< 1 year,0.0
2000.0,2009-07-31,personal loan,487.0,326.1%,236xx,VA,10+ years,0.0
5000.0,2009-08-07, ,,99999%,395xx,MS,1 year,0.0
18000.0,2009-08-10, ,671.0,13.17%,158xx,PA,10+ years,0.0
20000.0,2009-08-18,Looking to Consolidation Debt,659.0,43.09%,034xx,NH,2 years,0.0
15000.0,2009-08-18,kids,485.0,20.26%,930xx,CA,1 year,0.0
10000.0,2009-08-20,Sincere,629.0,26.86%,193xx,PA,10+ years,0.0
1000.0,2009-08-27,Test request,,-1%,951xx,CA,< 1 year,0.0
20000.0,2009-09-13,Home and Business Loan,693.0,21.21%,921xx,CA,10+ years,0.0
5000.0,2009-09-16,pay off my debt,509.0,18.3%,953xx,CA,10+ years,0.0
2000.0,2009-09-19,Bill Payments,674.0,15.17%,088xx,NJ,3 years,0.0
5000.0,2009-10-03,Daughter's Dream Wedding,0.0,0%,924xx,CA,7 years,0.0
1000.0,2009-10-28,home_improvement,0.0,19.33%,335xx,FL,< 1 year,0.0
1500.0,2009-11-02, ,651.0,47.45%,191xx,PA,2 years,0.0
12000.0,2009-11-04,debt_consolidation,692.0,46.95%,787xx,TX,2 years,0.0
30000.0,2009-11-16, ,666.0,1.97%,112xx,NY,10+ years,0.0
15000.0,2009-11-19, ,720.0,26.66%,073xx,NJ,3 years,0.0
10000.0,2009-11-26,small_business,525.0,39.86%,115xx,NY,< 1 year,0.0
10000.0,2009-11-30,debt_consolidation,547.0,4.73%,706xx,LA,8 years,0.0
10000.0,2009-12-08,other,466.0,56.4%,630xx,MO,4 years,0.0
10000.0,2009-12-31, ,,99999%,765xx,TX,1 year,0.0
19000.0,2010-01-06,credit_card,680.0,33.47%,827xx,WY,6 years,0.0
10000.0,2010-01-07,wedding,670.0,7.08%,112xx,NY,10+ years,0.0
23000.0,2010-02-05, ,735.0,33.23%,321xx,FL,10+ years,0.0
4500.0,2010-02-08,medical,537.0,34.13%,338xx,FL,3 years,0.0
11000.0,2010-03-03,debt_consolidation,730.0,29.34%,432xx,OH,4 years,0.0
6000.0,2010-03-10,credit_card,672.0,28.05%,063xx,CT,6 years,0.0
10000.0,2010-03-11,car,592.0,6.91%,900xx,CA,,0.0
7000.0,2010-03-21,educational,459.0,20.8%,450xx,OH,,0.0
15000.0,2010-03-24,debt_consolidation,695.0,50.59%,118xx,NY,3 years,0.0
15000.0,2010-04-12,debt_consolidation,693.0,33.19%,931xx,CA,4 years,0.0
10000.0,2010-04-19,car,618.0,3.16%,329xx,FL,1 year,0.0
10000.0,2010-04-24,small_business,608.0,14.03%,441xx,OH,< 1 year,0.0
7000.0,2010-05-15,car,0.0,0%,553xx,MN,< 1 year,0.0
7000.0,2010-05-16,debt_consolidation,580.0,2.11%,103xx,NY,10+ years,0.0
15000.0,2010-05-26,Home improvement loan ,694.0,5.19%,115xx,NY,10+ years,0.0
1000.0,2010-06-01,medical,651.0,108.86%,786xx,TX,< 1 year,0.0
20000.0,2010-06-04,credit_card,697.0,42.92%,061xx,CT,< 1 year,0.0
25000.0,2010-06-05,debt_consolidation,757.0,12.3%,856xx,AZ,< 1 year,0.0
3000.0,2010-06-10,other,547.0,17.8%,435xx,OH,10+ years,0.0
10000.0,2010-06-12,major_purchase,688.0,7.81%,601xx,IL,< 1 year,0.0
10000.0,2010-06-18,debt_consolidation,679.0,8.94%,448xx,OH,< 1 year,0.0
6000.0,2010-07-08,debt_consolidation,0.0,0%,195xx,PA,< 1 year,0.0
1500.0,2010-07-09,medical,649.0,6.33%,402xx,KY,< 1 year,0.0
15000.0,2010-07-09,debt_consolidation,652.0,33.09%,841xx,UT,< 1 year,0.0
9000.0,2010-07-13,major_purchase,737.0,35.63%,701xx,LA,< 1 year,0.0
5000.0,2010-07-21,other,622.0,4.46%,030xx,NH,< 1 year,0.0
6000.0,2010-07-22,debt_consolidation,631.0,31.29%,498xx,MI,< 1 year,0.0
8500.0,2010-07-25,Soldier's Financial FREEDOM,692.0,2.43%,070xx,NJ,< 1 year,0.0
10000.0,2010-07-29,debt_consolidation,446.0,23.86%,142xx,NY,< 1 year,0.0
8000.0,2010-08-02,debt_consolidation,447.0,38.81%,774xx,TX,< 1 year,0.0
16000.0,2010-08-12,debt_consolidation,650.0,6.88%,636xx,MO,< 1 year,0.0
20000.0,2010-08-14,debt_consolidation,692.0,36.24%,117xx,NY,< 1 year,0.0
15000.0,2010-08-24,ARP Wave,797.0,0%,805xx,CO,10+ years,0.0
15000.0,2010-08-30,credit_card,602.0,22.49%,904xx,CA,< 1 year,0.0
5000.0,2010-09-04,car,,-1%,775xx,TX,< 1 year,0.0
5500.0,2010-09-07,personal / condoidation,589.0,31.61%,324xx,FL,3 years,0.0
5000.0,2010-09-10,business purchase,538.0,42.54%,083xx,NJ,1 year,0.0
25000.0,2010-09-14,debt_consolidation,,31.82%,786xx,TX,< 1 year,0.0
7000.0,2010-09-24,debt_consolidation,603.0,12.96%,956xx,CA,< 1 year,0.0
5000.0,2010-09-29,major_purchase,498.0,76.08%,100xx,NY,< 1 year,0.0
15000.0,2010-10-02,debt_consolidation,684.0,45%,260xx,WV,< 1 year,0.0
10000.0,2010-10-03,home_improvement,622.0,1.62%,891xx,NV,< 1 year,0.0
5000.0,2010-10-04,debt_consolidation,620.0,44.25%,415xx,KY,< 1 year,0.0
6000.0,2010-10-04,consolidation,716.0,4.62%,300xx,GA,,0.0
1000.0,2010-10-26,major_purchase,674.0,41.12%,750xx,TX,< 1 year,0.0
20000.0,2010-11-03,debt_consolidation,742.0,13.46%,282xx,NC,< 1 year,0.0
10000.0,2010-11-08,credit_card,664.0,36.14%,441xx,OH,< 1 year,0.0
16000.0,2010-11-17,co-op apartment,701.0,13.82%,116xx,NY,9 years,0.0
10000.0,2010-11-17,renewable_energy,525.0,0.51%,922xx,CA,< 1 year,0.0
15000.0,2010-11-25,debt_consolidation,0.0,0%,331xx,FL,< 1 year,0.0
