10000.0,2007-09-20,OracleDBA,607.0,17.02%,285xx,NC,< 1 year,0.0
5000.0,2007-11-19,immart73,506.0,3%,240xx,VA,4 years,0.0
25000.0,2007-12-15,Tap1,480.0,28.38%,800xx,CO,10+ years,0.0
7000.0,2007-12-29,other,,100%,076xx,NJ,< 1 year,0.0
23000.0,2008-01-14,HowieP,536.0,28.33%,927xx,CA,9 years,0.0
14000.0,2008-04-06,Help my homeownership dreams come true!,650.0,36.14%,152xx,PA,< 1 year,0.0
7500.0,2008-08-26,Dream Home In Safe Neighborhood,588.0,3.38%,799xx,TX,< 1 year,0.0
8800.0,2008-10-21,personal loan,463.0,3%,337xx,FL,1 year,0.0
5000.0,2008-10-29,Deposit fees for housing,727.0,0%,037xx,NH,< 1 year,0.0
3500.0,2008-12-05,pantent,0.0,0%,125xx,NY,2 years,0.0
5600.0,2009-01-16,Spring Semester Tuition on Deans list,660.0,0%,208xx,MD,< 1 year,0.0
2000.0,2009-01-26,"Need Money For College,AlreadyPaid 3/4th",499.0,15.8%,142xx,NY,< 1 year,0.0
5000.0,2009-03-10, ,673.0,25.06%,060xx,CT,< 1 year,0.0
3500.0,2009-03-12,Purchase motorcycle,629.0,11.03%,283xx,NY,8 years,0.0
15000.0,2009-03-21,Credit Cards and Pay Day Loans,655.0,32.59%,019xx,MA,3 years,0.0
13000.0,2009-03-25, ,685.0,13.74%,018xx,MA,8 years,0.0
20000.0,2009-03-30, ,,99999%,442xx,OH,3 years,0.0
2000.0,2009-04-09,Old Student Loans,444.0,2.94%,296xx,SC,< 1 year,0.0
18000.0,2009-04-17, ,607.0,2.25%,928xx,CA,6 years,0.0
25000.0,2009-04-17,Education and a fresh start in Colorado,0.0,0%,928xx,CA,< 1 year,0.0
1000.0,2009-04-19,car in need of repair ,,-1%,731xx,OK,10+ years,0.0
5000.0,2009-04-30,PLUS loan,512.0,3.67%,911xx,CA,< 1 year,0.0
4000.0,2009-05-04,Student,450.0,231%,482xx,MI,1 year,0.0
6000.0,2009-06-28,Financing a new car,579.0,21.52%,328xx,FL,< 1 year,0.0
3000.0,2009-07-01,School,,-1%,403xx,KY,< 1 year,0.0
1500.0,2009-07-31,Jacob Cooper,507.0,1.25%,144xx,NY,2 years,0.0
1000.0,2009-08-07,school,580.0,2.93%,112xx,NY,1 year,0.0
4000.0,2009-08-20,a little help,606.0,12.52%,023xx,MA,3 years,0.0
1000.0,2009-09-16,Payoff BofA,699.0,25.57%,679xx,KS,10+ years,0.0
20000.0,2009-09-19,Personal Loan,,-1%,750xx,TX,< 1 year,0.0
20000.0,2009-10-03,combine debt,411.0,20.13%,983xx,WA,10+ years,0.0
1500.0,2009-11-04, ,660.0,1.2%,981xx,WA,2 years,0.0
10000.0,2009-11-26,debt_consolidation,523.0,13.92%,983xx,WA,< 1 year,0.0
2000.0,2009-11-30,small_business,507.0,4.43%,324xx,FL,< 1 year,0.0
10000.0,2009-12-31,other,674.0,16.77%,970xx,OR,4 years,0.0
5000.0,2010-01-06,other,556.0,112%,701xx,LA,< 1 year,0.0
11000.0,2010-02-05,credit_card,693.0,27.14%,064xx,CT,4 years,0.0
7000.0,2010-03-11,educational,0.0,0%,894xx,NV,2 years,0.0
15000.0,2010-03-21,medical,712.0,32.94%,890xx,NV,5 years,0.0
4000.0,2010-04-12,other,740.0,25.75%,917xx,CA,10+ years,0.0
1000.0,2010-04-19,house,0.0,0%,334xx,FL,1 year,0.0
30000.0,2010-05-16,debt_consolidation,696.0,25.58%,300xx,GA,1 year,0.0
10000.0,2010-06-05,vacation,0.0,0%,010xx,MA,< 1 year,0.0
15000.0,2010-06-10,debt_consolidation,641.0,19.55%,564xx,MN,< 1 year,0.0
2000.0,2010-07-09,medical,535.0,10.63%,441xx,OH,< 1 year,0.0
8000.0,2010-07-09,credit_card,690.0,26.31%,900xx,CA,< 1 year,0.0
10000.0,2010-07-13,wedding,0.0,199998%,921xx,CA,< 1 year,0.0
1000.0,2010-07-29,small_business,0.0,0%,960xx,CA,< 1 year,0.0
10000.0,2010-08-14,car,,-1%,603xx,IL,8 years,0.0
25000.0,2010-08-24,debt_consolidation,718.0,27.47%,900xx,CA,< 1 year,0.0
10000.0,2010-09-04,home_improvement,,27.35%,243xx,VA,< 1 year,0.0
15000.0,2010-10-04,debt_consolidation,569.0,16.71%,606xx,IL,< 1 year,0.0
25000.0,2010-10-26,credit_card,662.0,7.51%,844xx,UT,< 1 year,0.0
1000.0,2010-11-08,major_purchase,600.0,3.9%,953xx,CA,< 1 year,0.0
5000.0,2010-11-17,small_business,0.0,-1%,112xx,NY,< 1 year,0.0
2000.0,2010-11-17,other,644.0,280%,782xx,TX,< 1 year,0.0
23000.0,2010-11-25,other,565.0,15.54%,015xx,MA,< 1 year,0.0
17000.0,2010-12-10,debt_consolidation,653.0,14.68%,945xx,CA,< 1 year,0.0
8300.0,2010-12-15,credit_card,684.0,28.31%,660xx,KS,< 1 year,0.0
11000.0,2010-12-20,other,708.0,47.58%,210xx,MD,3 years,0.0
21000.0,2010-12-20,MARKETING AND WORKING CAPITAL,678.0,22.48%,750xx,TX,7 years,0.0
15000.0,2011-01-05,debt_consolidation,684.0,51.2%,070xx,NJ,< 1 year,0.0
2000.0,2011-01-08,vacation,664.0,37.92%,605xx,IL,< 1 year,0.0
2500.0,2011-01-25,Helping Family,771.0,5.54%,130xx,CA,,0.0
3000.0,2011-02-02,car,0.0,-1%,992xx,WA,< 1 year,0.0
